Weber-Stephen CZ & SK spol. s r.o.;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ceník Premium Plus 2020;;;;;;;;;;;;;
platný od 01. 10. 2019 do 30. 09. 2020;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;NOVÝ;Číslo artiklu;EAN kód;Popis artiklu;Min. objednací množství;Počet kusů na paletě;NC CZK;DPC CZK;NC EUR;DPC EUR;Kategorie;NC
Dřevěné uhlí;;;;;;;;;;;;;
HOLZKOHLE;Smokey Mountain Cooker;;731004;0077924009167;Smokey Mountain Cooker Smoker Ø 57 cm, Black;1;2; 	9 923,33 Kč ; 	12 990,00 Kč ; 	389,15 € ; 	499,00 € ;Partner; 	7 662,48 Kč 
ELEKTRO;;;;;;;;;;;;; 	-   Kč 
ELEKTRO;Pulse;;;;;;;;;;;; 	-   Kč 
;;;81010079;0077924060489;PULSE 1000 elektrický gril,  Black;1;8; 	10 169,40 Kč ; 	12 990,00 Kč ; 	398,80 € ; 	499,00 € ;Smart; 	7 852,49 Kč 
;;;82010079;0077924060519;PULSE 2000 elektrický gril, Black;1;6; 	15 522,62 Kč ; 	21 990,00 Kč ; 	608,73 € ; 	849,00 € ;Smart; 	11 986,08 Kč 
;;;85010079;0077924060595;PULSE 2000 elektrický gril s vozíkem, Black;1;2; 	18 619,08 Kč ; 	25 490,00 Kč ; 	730,16 € ; 	999,00 € ;Smart; 	14 377,07 Kč 
ELEKTRO;Weber Q;;;;;;;;;;;; 	-   Kč 
ELEKTRO;Weber Q;;52020079;0077924024160;Weber® Q 1400 elektrický gril, Dark Grey;1;12; 	5 835,17 Kč ; 	7 990,00 Kč ; 	228,83 € ; 	299,00 € ;Partner; 	4 505,73 Kč 
ELEKTRO;Weber Q;;52020879;0077924024207;Weber® Q 1400 Stand elektrický gril, Dark Grey;1;12; 	6 912,80 Kč ; 	8 990,00 Kč ; 	271,09 € ; 	349,00 € ;Partner; 	5 337,85 Kč 
ELEKTRO;Weber Q;;55020079;0077924024429;Weber® Q 2400 elektrický gril, Dark Grey;1;6; 	8 524,14 Kč ; 	11 490,00 Kč ; 	334,28 € ; 	449,00 € ;Partner; 	6 582,07 Kč 
ELEKTRO;Weber Q;;55020879;0077924024436;Weber® Q 2400 Stand elektrický gril, Dark Grey;1;6; 	9 721,37 Kč ; 	12 990,00 Kč ; 	381,23 € ; 	499,00 € ;Partner; 	7 506,54 Kč 
Plyn;;;;;;;;;;;;; 	-   Kč 
GAS;Weber Q;;;;;;;;;;;; 	-   Kč 
GAS;;;51010075;0077924026706;Weber® Q 1200 plynový gril, Black;1;9; 	5 866,53 Kč ; 	7 990,00 Kč ; 	230,06 € ; 	299,00 € ;Partner; 	4 529,95 Kč 
GAS;Weber Q;;51012375;0077924065088;Weber® Q 1200 plynový gril, Black  (s tepelným štítem a tep. roštem);1;9; 	5 866,53 Kč ; 	7 990,00 Kč ; 	230,06 € ; 	299,00 € ;Premium; 	4 529,95 Kč 
GAS;Weber Q;;51012475;0077924065118;Weber® Q 1200 Stand plynový gril, Black  (s tepelným štítem a tep. roštem);1;9; 	6 899,79 Kč ; 	8 990,00 Kč ; 	270,58 € ; 	349,00 € ;Premium; 	5 327,80 Kč 
PROMOTIONSORTIMENT;Weber Q Promotion-Sortiment;;56010047;0077924067853;Weber Q 3000, Black;1;3; 	11 730,00 Kč ; 	15 490,00 Kč ; 	460,00 € ; 	599,00 € ;Special Assortment; 	9 057,54 Kč 
GAS;Weber Q;;57012347;0077924100550;Weber® Q 3200 Station plynový gril, Black (se šuplíkem, tep. štítem a roštem);1;3; 	12 187,73 Kč ; 	15 490,00 Kč ; 	477,95 € ; 	599,00 € ;Premium; 	9 410,98 Kč 
;Go-Anywhere;;;;;;;;;;;; 	-   Kč 
;;;1141075;0077924029240;Go-Anywhere plynový, Black;1;24; 	3 587,34 Kč ; 	4 390,00 Kč ; 	140,68 € ; 	169,99 € ;Partner; 	2 770,03 Kč 
;Spirit II;;;;;;;;;;;; 	-   Kč 
;Spirit II;;44010147;0077924077685;Spirit II E-210 GBS plynový gril, Black;1;4; 	10 455,00 Kč ; 	12 990,00 Kč ; 	410,00 € ; 	499,00 € ;Special Assortment; 	8 073,02 Kč 
;;;44000147;0077924088094;Spirit II S-210 GBS plynový gril, Stainless steel;1;4; 	12 496,28 Kč ; 	15 490,00 Kč ; 	490,05 € ; 	599,00 € ;Special Assortment; 	9 649,23 Kč 
;Spirit II;;45002147;0077924090325;Spirit II S-320 GBS plynový gril, Stainless steel;1;3; 	16 325,10 Kč ; 	19 990,00 Kč ; 	640,20 € ; 	799,00 € ;Partner; 	12 605,73 Kč 
;Spirit II;;45012147;0077924090332;Spirit II E-320 GBS plynový gril, Black;1;3; 	14 281,28 Kč ; 	17 990,00 Kč ; 	560,05 € ; 	699,00 € ;Partner; 	11 027,55 Kč 
GAS;Genesis II;;;;;;;;;;;; 	-   Kč 
GAS;Genesis II;;61011147;0077924090172;Genesis® II E-310 GBS plynový gril, Black;1;2; 	20 077,43 Kč ; 	25 490,00 Kč ; 	787,35 € ; 	999,00 € ;Partner; 	15 503,16 Kč 
GAS;Genesis II;;61051147;0077924090301;Genesis® II E-310 GBS plynový gril, Smoke Grey;1;2; 	20 077,43 Kč ; 	25 490,00 Kč ; 	787,35 € ; 	999,00 € ;Special Assortment; 	15 503,16 Kč 
GAS;Genesis II;;61001147;0077924090295;Genesis® II S-310 GBS plynový gril, Stainless steel;1;2; 	22 058,78 Kč ; 	27 990,00 Kč ; 	865,05 € ; 	1 099,00 € ;Partner; 	17 033,10 Kč 
;;;61015147;0077924090288;Genesis® II E-315 GBS plynový gril, Black;1;2; 	24 047,78 Kč ; 	29 990,00 Kč ; 	943,05 € ; 	1 199,00 € ;Special Assortment; 	18 568,94 Kč 
;Genesis II;;62011147;0077924090592;Genesis® II E-410 GBS plynový gril, Black;1;2; 	28 065,30 Kč ; 	35 990,00 Kč ; 	1 100,60 € ; 	1 399,00 € ;Partner; 	21 671,14 Kč 
;Genesis II;;62001147;0077924090271;Genesis® II S-410 GBS plynový gril, Stainless steel;1;2; 	30 092,55 Kč ; 	37 990,00 Kč ; 	1 180,10 € ; 	1 499,00 € ;Partner; 	23 236,52 Kč 
;Genesis II;;63010147;4043525630143;Genesis® II E-610 GBS plynový gril, Black;1;2; 	31 133,21 Kč ; 	43 490,00 Kč ; 	1 220,91 € ; 	1 699,00 € ;Partner; 	24 040,08 Kč 
GAS;Genesis II;;61016147;0077924090264;Genesis® II EP-335 GBS plynový gril, Black;1;2; 	28 065,30 Kč ; 	35 990,00 Kč ; 	1 100,60 € ; 	1 399,00 € ;Premium; 	21 671,14 Kč 
;;NOVÝ;;;Genesis® II EP-335 GBS plynový gril, Blue;1;2; 	28 065,30 Kč ; 	35 990,00 Kč ; 	1 100,60 € ; 	1 399,00 € ;Premium; 	21 671,14 Kč 
GAS;Genesis II;;61006147;0077924090486;Genesis® II SP-335 GBS plynový gril, Stainless steel;1;2; 	30 092,55 Kč ; 	37 990,00 Kč ; 	1 180,10 € ; 	1 499,00 € ;Premium; 	23 236,52 Kč 
GAS;Genesis II;;62006147;0077924090431;Genesis® II SP-435 GBS plynový gril, Stainless steel;1;2; 	38 127,60 Kč ; 	48 990,00 Kč ; 	1 495,20 € ; 	1 899,00 € ;Premium; 	29 440,93 Kč 
Příslušenství;;;;;;;;;;;;; 	-   Kč 
Příslušenství;Příslušenství základní;;;;;;;;;;;; 	-   Kč 
Příslušenství;Příslušenství - Basis;;6415;0077924074752;Hliníkové misky, malé, 10 ks, vhodné na grily Q™, Spirit™, Genesis®a Genesis® II s 2 a 3 hořáky;10;660; 	95,36 Kč ; 	129,00 Kč ; 	3,74 € ; 	4,99 € ;Non; 	73,63 Kč 
Příslušenství;Příslušenství - Basis;;6416;0077924074769;Hliníkové misky, velké, 10 ks, univerzální;6;240; 	195,52 Kč ; 	279,00 Kč ; 	7,67 € ; 	9,99 € ;Non; 	150,97 Kč 
Příslušenství;Příslušenství - Basis;;6417;0077924074776;Hliníkové misky,10 ks, vhodné na grily Summit™ a Genesis® II se 4 a 6 hořáky;4;320; 	343,21 Kč ; 	549,00 Kč ; 	13,46 € ; 	19,99 € ;Partner; 	265,02 Kč 
Příslušenství;Příslušenství - Basis;;6454;0077924007606;Hliníkové misky, XL, 5 ks, pro kotlové grily od velikosti 57 cm;5;280; 	168,21 Kč ; 	249,00 Kč ; 	6,60 € ; 	8,99 € ;Non; 	129,89 Kč 
Příslušenství;Příslušenství - Basis;;6645;0077924011191;Grilovací náčiní Premium,2 ks, ušlechtilá ocel, černé;4;220; 	728,48 Kč ; 	999,00 Kč ; 	28,57 € ; 	39,99 € ;Non; 	562,51 Kč 
Příslušenství;Příslušenství - Basis;;6625;0077924011863;Grilovací náčiní Premium, ušlechtilá ocel, černé, 2 ks;4;160; 	817,82 Kč ; 	1 190,00 Kč ; 	32,07 € ; 	44,99 € ;Non; 	631,49 Kč 
Příslušenství;Příslušenství - Basis;;6630;0077924011870;Grilovací náčiní Premium, ušlechtilá ocel, černé, 3 ks;4;140; 	1 087,43 Kč ; 	1 590,00 Kč ; 	42,64 € ; 	59,99 € ;Non; 	839,68 Kč 
Příslušenství;Příslušenství - Basis;;6673;0077924018398;Obracečka Premium, ušlechtilá ocel, černá;4;140; 	487,11 Kč ; 	649,00 Kč ; 	19,10 € ; 	24,99 € ;Non; 	376,13 Kč 
Příslušenství;Příslušenství - Reinigung;;6495;0077924018961;Grilovací kartáč, ideální pro litinové rošty;12;864; 	180,92 Kč ; 	279,00 Kč ; 	7,10 € ; 	9,99 € ;Non; 	139,70 Kč 
Příslušenství;Příslušenství - Reinigung;;6463;0077924006821;Grilovací kartáč, s bambusovou rukojetí, 30 cm, štětiny z ušlechtilé oceli ;12;1320; 	146,90 Kč ; 	199,00 Kč ; 	5,76 € ; 	7,99 € ;Non; 	113,43 Kč 
Příslušenství;Příslušenství - Reinigung;;6464;0077924006838;Grilovací kartáč, s bambusovou rukojetí, 46 cm, štětiny z ušlechtilé oceli  ;12;840; 	186,53 Kč ; 	279,00 Kč ; 	7,31 € ; 	9,99 € ;Non; 	144,03 Kč 
Příslušenství;Příslušenství - Reinigung;;6494;0077924018954;Grilovací kartáč,trojstranný, 30 cm, štětiny z ušlechtilé oceli;12;720; 	227,49 Kč ; 	349,00 Kč ; 	8,92 € ; 	12,99 € ;Non; 	175,66 Kč 
Příslušenství;Příslušenství - Reinigung;;6493;0077924018947;Grilovací kartáč, trojstranný, 53 cm, štětiny z ušlechtilé oceli;12;408; 	262,96 Kč ; 	399,00 Kč ; 	10,31 € ; 	14,99 € ;Non; 	203,05 Kč 
Příslušenství;Příslušenství - Basis;;6669;0077924011153;Sada grilovacích rukavic Premium, velikost S/M, černé, žáruvzdorné;6;630; 	898,89 Kč ; 	1 290,00 Kč ; 	35,25 € ; 	49,99 € ;Non; 	694,09 Kč 
