Weber-Stephen CZ & SK spol. s r.o.;;;;;;;;;;;;;
;;;;;;;;;;;;;
Ceník Premium Plus 2020;;;;;;;;;;;;;
platný od 01. 10. 2019 do 30. 09. 2020;;;;;;;;;;;;;
;;;;;;;;;;;;;
;;NOVÝ;Číslo artiklu;EAN kód;Popis artiklu;Min. objednací množství;Počet kusů na paletě;NC CZK;DPC CZK;NC EUR;DPC EUR;Kategorie;NC
Dřevěné uhlí;;;;;;;;;;;;;
Příslušenství;Příslušenství - Basis gril na dřevěné uhlí;;17590;0077924036538;Weber® brikety, 4 kg;130;130; 	191,00 Kč ; 	249,00 Kč ; 	7,49 € ; 	8,99 € ;Non; 	147,48 Kč 
Příslušenství;Příslušenství - Basis gril na dřevěné uhlí;;17591;0077924036545;Weber® brikety, 8 kg;66;66; 	339,79 Kč ; 	399,00 Kč ; 	13,33 € ; 	15,99 € ;Non; 	262,38 Kč 
Příslušenství;Příslušenství - Basis gril na dřevěné uhlí;NOVÝ;17945;0077924128769;Podpalovací kostky bílé;20;; 	77,78 Kč ; 	99,00 Kč ; 	3,05 € ; 	3,99 € ;Non; 	60,06 Kč 
Příslušenství;Příslušenství - Basis gril na dřevěné uhlí;;17612;0077924039270;Podpalovací kostky hnědé - ekologické 48 ks v balení;15;540; 	75,23 Kč ; 	99,00 Kč ; 	2,95 € ; 	3,99 € ;Non; 	58,09 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky Drehspieße;;7494;0077924013072;Otáčecí špíz, vhodný na grily na dřevěné uhlí o velikosti 57 cm;1;16; 	3 884,28 Kč ; 	4 990,00 Kč ; 	152,32 € ; 	199,99 € ;Partner; 	2 999,32 Kč 
Příslušenství;Příslušenství - Basis gril na dřevěné uhlí;;17638;0077924041136;Postranní bambusový stolek ke kotlovým grilům;4;84; 	1 457,27 Kč ; 	1 790,00 Kč ; 	57,15 € ; 	69,99 € ;Partner; 	1 125,26 Kč 
Příslušenství;Příslušenství - Basis gril na dřevěné uhlí;;7403;0077924073830;Palivové nádoby Char-Basket, vhodné pro grily na dřevěné uhlí o velikosti 57 cm a vyšší verze, 2 ks;4;96; 	453,09 Kč ; 	649,00 Kč ; 	17,77 € ; 	24,99 € ;Non; 	349,86 Kč 
Příslušenství;Příslušenství - Basis gril na dřevěné uhlí;;7401;0077924068645;Závěsná lišta na náčiní, vhodná pro grily na dřevěné uhlí o velikosti 47 cm a 57 cm;6;840; 	172,22 Kč ; 	279,00 Kč ; 	6,75 € ; 	9,99 € ;Partner; 	132,98 Kč 
Příslušenství;Příslušenství - Basis gril na dřevěné uhlí;;7402;0077924072369;Palivové přepážky, vhodné pro grily na dřevěné uhlí o velikosti 47 cm a vyšší verze, 2 ks;10;440; 	251,92 Kč ; 	399,00 Kč ; 	9,88 € ; 	14,99 € ;Non; 	194,52 Kč 
Příslušenství;Příslušenství pro grily Weber Smoke Fire;;;;;;;;;;;; 	-   Kč 
;;NOVÝ;190101;0077924129742;Weber SmokeFire dřevěné přírodní pelety – Směs Grill Academy, 9 kg;1;; 	420,75 Kč ; 	549,00 Kč ; 	16,50 € ; 	19,99 € ;Non; 	324,89 Kč 
;;NOVÝ;190102;0077924129759;Weber SmokeFire dřevěné přírodní pelety – Hickory, 9 kg;1;; 	420,75 Kč ; 	549,00 Kč ; 	16,50 € ; 	19,99 € ;Non; 	324,89 Kč 
;;NOVÝ;190104;0077924129766;Weber SmokeFire dřevěné přírodní pelety – Jabloň, 9 kg;1;; 	420,75 Kč ; 	549,00 Kč ; 	16,50 € ; 	19,99 € ;Non; 	324,89 Kč 
;;NOVÝ;7192;0077924129674;Ochranný obal Smoke Fire 24 In;3;; 	1 968,35 Kč ; 	2 990,00 Kč ; 	77,19 € ; 	119,99 € ;Premium; 	1 519,90 Kč 
;;NOVÝ;7193;0077924129681;Ochranný obal Smoke Fire 36 In;2;; 	2 437,29 Kč ; 	3 890,00 Kč ; 	95,58 € ; 	149,99 € ;Premium; 	1 882,00 Kč 
;;NOVÝ;6498;0077924129810;Hliníkové misky pro Smoke Fire peletový gril/Summit;4;; 	336,09 Kč ; 	549,00 Kč ; 	13,18 € ; 	19,99 € ;Non; 	259,52 Kč 
Příslušenství;Příslušenství pro grily Weber Q;;;;;;;;;;;; 	-   Kč 
Příslušenství;;;17514;0077924012549;Plynová kartuše;12;792; 	184,37 Kč ; 	279,00 Kč ; 	7,23 € ; 	9,99 € ;Non; 	142,36 Kč 
Příslušenství;Příslušenství - Basis Weber Q;;6527;0077924029585;Postranní poličky, vhodný na grily Q™ 100/1000 série, sada 2 ks;1;172; 	837,84 Kč ; 	1 290,00 Kč ; 	32,86 € ; 	49,99 € ;Partner; 	646,95 Kč 
Příslušenství;Příslušenství - Basis Weber Q;;6523;0077924025976;Stojan, vhodný na grily Q™ 1000 a 2000 série;1;28; 	2 453,87 Kč ; 	2 990,00 Kč ; 	96,23 € ; 	119,99 € ;Partner; 	1 894,80 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky Drehspieße;;17560;0077924029523;Weber® Q™ Otáčecí špíz, vhodný na grily Q™ 100/1000 série;2;56; 	3 215,23 Kč ; 	3 890,00 Kč ; 	126,09 € ; 	149,99 € ;Partner; 	2 482,70 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky Drehspieße;;17561;0077924029547;Weber® Q™ Otáčecí špíz, vhodný na grily Q™ 200/2000 série;2;48; 	3 636,29 Kč ; 	4 390,00 Kč ; 	142,60 € ; 	169,99 € ;Partner; 	2 807,83 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky Drehspieße;;17524;0077924013720;Weber® Q™ Otáčecí špíz, vhodný na grily Q™ 300/3000 série;2;36; 	4 137,64 Kč ; 	4 990,00 Kč ; 	162,26 € ; 	199,99 € ;Partner; 	3 194,96 Kč 
Příslušenství;Příslušenství - Basis Weber Q;;6557;0077924021619;Pojízdný vozík, vhodný na grily Q™ 1000/2000 série;1;13; 	2 685,80 Kč ; 	3 890,00 Kč ; 	105,33 € ; 	149,99 € ;Partner; 	2 073,89 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky;;6558;0077924021640;Tál, litina, Q™ 1000 série;1;200; 	880,08 Kč ; 	1 290,00 Kč ; 	34,51 € ; 	49,99 € ;Partner; 	679,57 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky;;6559;0077924021633;Tál, litina, Q™ 2000 série;1;140; 	1 158,00 Kč ; 	1 690,00 Kč ; 	45,41 € ; 	64,99 € ;Partner; 	894,17 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky;;6506;0077924075063;Tál, litina, Q™ 300/3000 série;1;64; 	1 308,68 Kč ; 	1 790,00 Kč ; 	51,32 € ; 	69,99 € ;Partner; 	1 010,52 Kč 
Příslušenství;Příslušenství pro plynové grily;;;;;;;;;;;; 	-   Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky ETGS;;7615;0077924021336;Stojan na grilování a sada špízů, Elevations™ Tiered Cooking System - špízy, ušlechtilá ocel, vhodný pro grily Spirit™ 300 série, Genesis® , Genesis® II s 3 hořáky a vyšší verze a také na grily Summit™. Obsahuje 8 špízů.;1;105; 	1 114,46 Kč ; 	1 590,00 Kč ; 	43,70 € ; 	59,99 € ;Partner; 	860,55 Kč 
;Příslušenství - pro dokonalé chvilky ETGS;;7617;0077924021374;Přídavný rošt, ušlechtilá ocel, hodí se na modely ETCS a Genesis® II LX;4;400; 	430,23 Kč ; 	649,00 Kč ; 	16,87 € ; 	24,99 € ;Partner; 	332,21 Kč 
;Příslušenství - pro dokonalé chvilky ETGS;;7616;0077924021343;Sada grilovacích košů, ušlechtilá ocel, hodí se na modely ETCS a Genesis® II LX;4;500; 	570,22 Kč ; 	799,00 Kč ; 	22,36 € ; 	29,99 € ;Partner; 	440,31 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky ETGS;;7618;0077924021398;Sada špízů, 4 ks, ušlechtilá ocel, hodí se na modely ETCS a Genesis® II LX;4;960; 	442,57 Kč ; 	649,00 Kč ; 	17,36 € ; 	24,99 € ;Partner; 	341,74 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky Drehspieße;;8519;0077924059094;WEBER® otáčecí špíz SPIRIT™ 2XX/3XX;1;120; 	2 825,85 Kč ; 	3 890,00 Kč ; 	110,82 € ; 	149,99 € ;Partner; 	2 182,03 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky Drehspieße;;7654;0077924052088;Weber® otáčecí špíz, vhodný na grily Genesis® II s 2 a 3 hořáky a Genesis® 300 série;1;104; 	3 052,88 Kč ; 	4 690,00 Kč ; 	119,72 € ; 	179,99 € ;Partner; 	2 357,34 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky Drehspieße;;7655;0077924052095;Weber® otáčecí špíz, vhodný na grily Genesis® II se 4 a 6 hořáky ;1;70; 	3 106,63 Kč ; 	4 690,00 Kč ; 	121,83 € ; 	179,99 € ;Partner; 	2 398,84 Kč 
;;;7597;0077924019135;Grilovací tál Spirit™ litinový 2XX (modely od 2013);1;80; 	1 614,71 Kč ; 	2 290,00 Kč ; 	63,32 € ; 	89,99 € ;Partner; 	1 246,83 Kč 
;;;7598;0077924019142;Litinový oboustranný tál litinový pro Spirit 300-série (modely od 2013);1;110; 	1 802,77 Kč ; 	2 490,00 Kč ; 	70,70 € ; 	99,99 € ;Partner; 	1 392,04 Kč 
;;;7579;0077924019173;Weber® tál Spirit/Spirit II 300 série;1;32; 	1 858,19 Kč ; 	2 490,00 Kč ; 	72,87 € ; 	99,99 € ;Partner; 	1 434,84 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky;;7651;0077924049910;Weber® litinový rošt Sear Grate, litina, vhodný na grily Genesis® II se 4 a 6 hořáky;1;112; 	1 673,63 Kč ; 	2 490,00 Kč ; 	65,63 € ; 	99,99 € ;Partner; 	1 292,32 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky;;7650;0077924049903;Weber® tál Genesis® II se 4 a 6 hořáky, litinový;1;52; 	1 866,11 Kč ; 	2 490,00 Kč ; 	73,18 € ; 	99,99 € ;Partner; 	1 440,95 Kč 
Příslušenství;Příslušenství - Basis plynový grils;NOVÝ;7662;0077924114069;Univerzální světlo na madlo;4;; 	947,58 Kč ; 	1 290,00 Kč ; 	37,16 € ; 	49,99 € ;Partner; 	731,69 Kč 
;;NOVÝ;7663;0077924114076;Světlo na madlo pro grily Weber Q;4;; 	970,79 Kč ; 	1 290,00 Kč ; 	38,07 € ; 	49,99 € ;Partner; 	749,61 Kč 
Příslušenství;Příslušenství pro grily Pulse;;;;;;;;;;;; 	-   Kč 
;;;7660;0077924059162;Otáčecí špíz Pulse 1000 a 2000;1;80; 	3 904,05 Kč ; 	4 990,00 Kč ; 	153,10 € ; 	199,99 € ;Smart; 	3 014,58 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky;;6609;0077924059155;Grilovací tál univerzální Pulse 1000 a 2000;1;90; 	1 171,22 Kč ; 	1 590,00 Kč ; 	45,93 € ; 	59,99 € ;Partner; 	904,38 Kč 
;Příslušenství - pro dokonalé chvilky;;8831;0077924059186;Premium Kámen na pizzu kulatý Ø 26 cm;4;192; 	795,35 Kč ; 	999,00 Kč ; 	31,19 € ; 	39,99 € ;Partner; 	614,14 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky;;8830;0077924062681;Premium Kámen na pizzu kulatý Ø 36 cm;3;87; 	1 000,88 Kč ; 	1 290,00 Kč ; 	39,25 € ; 	49,99 € ;Partner; 	772,85 Kč 
;;NOVÝ;6539;0077924059148;Vozík pro Pulse, vhodný pro Pulse 1000/2000;1;12; 	3 999,68 Kč ; 	4 990,00 Kč ; 	156,85 € ; 	199,99 € ;Smart; 	3 088,43 Kč 
Příslušenství;Příslušenství ochranné obaly;;;;;;;;;;;; 	-   Kč 
Příslušenství;Příslušenství - Basis gril na dřevěné uhlí;;7141;0077924031908;Ochranný obal Premium, vhodný pro grily na dřevěné uhlí o velikosti 47 cm;4;300; 	989,88 Kč ; 	1 590,00 Kč ; 	38,82 € ; 	59,99 € ;Partner; 	764,35 Kč 
Příslušenství;Příslušenství - Basis gril na dřevěné uhlí;;7143;0077924031939;Ochranný obal Premium, vhodný pro Original Kettle™ Premium o velikosti 57 cm a grily na dřevěné uhlí Master-Touch™ ;4;280; 	1 158,08 Kč ; 	1 790,00 Kč ; 	45,41 € ; 	69,99 € ;Partner; 	894,23 Kč 
;Příslušenství - Basis gril na dřevěné uhlí;;7186;0077924086571;Ochranný obal Premium pro Master-Touch Premium 57 cm;4;280; 	1 158,08 Kč ; 	1 790,00 Kč ; 	45,41 € ; 	69,99 € ;Partner; 	894,23 Kč 
Příslušenství;Příslušenství - Basis gril na dřevěné uhlí;;7145;0077924031977;Ochranný obal Premium, vhodný na model Performer™;3;300; 	1 623,68 Kč ; 	2 490,00 Kč ; 	63,67 € ; 	99,99 € ;Partner; 	1 253,75 Kč 
Příslušenství;Příslušenství - Basis gril na dřevěné uhlí;;7146;0077924032011;Ochranný obal Premium, vhodný na modely Performer™ Premium a Deluxe;3;300; 	1 638,07 Kč ; 	2 490,00 Kč ; 	64,24 € ; 	99,99 € ;Partner; 	1 264,87 Kč 
Příslušenství;Příslušenství - Basis Weber Q;;7117;0077924035647;Ochranný obal Premium, vhodný na grily Q™ 100/1000 série;4;672; 	503,31 Kč ; 	799,00 Kč ; 	19,74 € ; 	29,99 € ;Partner; 	388,64 Kč 
Příslušenství;Příslušenství - Basis Weber Q;;7118;0077924035654;Ochranný obal Premium, vhodný na grily Q™ 200/2000 série;4;672; 	583,87 Kč ; 	899,00 Kč ; 	22,90 € ; 	34,99 € ;Partner; 	450,85 Kč 
Příslušenství;Příslušenství - Basis Weber Q;;7120;0077924035692;Ochranný obal Premium, vhodný na grily Q™ 100/1000 a 200/2000 za použití stojanu nebo vozíku;4;336; 	1 076,85 Kč ; 	1 790,00 Kč ; 	42,23 € ; 	69,99 € ;Partner; 	831,51 Kč 
Příslušenství;Příslušenství - Basis Weber Q;;7184;0077924059254;Ochranný obal Premium Q 300/3000 série;4;320; 	1 365,96 Kč ; 	1 990,00 Kč ; 	53,57 € ; 	79,99 € ;Partner; 	1 054,75 Kč 
;Příslušenství - Basis plynový grils;;7182;0077924059230;Ochranný obal Premium Spirit II 200;3;198; 	1 659,49 Kč ; 	2 490,00 Kč ; 	65,08 € ; 	99,99 € ;Partner; 	1 281,41 Kč 
;Příslušenství - Basis plynový grils;;7183;0077924059247;Ochranný obal Premium Spirit II 300;3;195; 	1 968,24 Kč ; 	2 990,00 Kč ; 	77,19 € ; 	119,99 € ;Partner; 	1 519,81 Kč 
Příslušenství;Příslušenství - Basis plynový grils;;7134;0077924049873;Ochranný obal Premium pro Genesis a Genesis II 300-série;3;324; 	2 120,97 Kč ; 	3 290,00 Kč ; 	83,18 € ; 	129,99 € ;Partner; 	1 637,75 Kč 
Příslušenství;Příslušenství - Basis plynový grils;;7135;0077924049880;Ochranný obal Premium pro Genesis II 400-série;2;240; 	2 437,26 Kč ; 	3 890,00 Kč ; 	95,58 € ; 	149,99 € ;Partner; 	1 881,98 Kč 
Příslušenství;Příslušenství - Basis plynový grils;;7136;0077924049897;Ochranný obal Premium pro Genesis II 600-série;2;240; 	2 892,26 Kč ; 	4 690,00 Kč ; 	113,42 € ; 	179,99 € ;Partner; 	2 233,31 Kč 
;;;7180;0077924059216;Prémiový ochranný obal pro Pulse 1000;4;608; 	503,37 Kč ; 	799,00 Kč ; 	19,74 € ; 	29,99 € ;Smart; 	388,69 Kč 
;;;7140;0077924059193;Prémiový ochranný obal pro Pulse 2000;4;608; 	583,95 Kč ; 	899,00 Kč ; 	22,90 € ; 	34,99 € ;Smart; 	450,91 Kč 
;;;7181;0077924059223;Prémiový ochranný obal pro Pulse 2000 s vozíkem;4;312; 	1 366,04 Kč ; 	1 990,00 Kč ; 	53,57 € ; 	79,99 € ;Smart; 	1 054,81 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky;;7159;0077924035739;Ochranný obal pro Weber Fireplace;2;500; 	602,25 Kč ; 	899,00 Kč ; 	23,62 € ; 	34,99 € ;Partner; 	465,04 Kč 
Příslušenství;Příslušenství - Basis gril na dřevěné uhlí;;7175;0077924048142;Weber® Ochranný obal, vhodný pro grily na dřevěné uhlí o velikosti 47 cm;5;600; 	579,65 Kč ; 	899,00 Kč ; 	22,73 € ; 	34,99 € ;Partner; 	447,59 Kč 
Příslušenství;Příslušenství - Basis gril na dřevěné uhlí;;7176;0077924048159;Weber® ochranný obal, vhodný pro grily na dřevěné uhlí o velikosti 57 cm;5;600; 	658,68 Kč ; 	999,00 Kč ; 	25,83 € ; 	39,99 € ;Partner; 	508,61 Kč 
Příslušenství;Příslušenství - Basis Weber Q;;7177;0077924048166;Weber® Ochranný obal, vhodný pro grily Q™ 100/1000 a 200/2000 za použití stojanu nebo vozíku;5;600; 	677,83 Kč ; 	999,00 Kč ; 	26,58 € ; 	39,99 € ;Partner; 	523,40 Kč 
Příslušenství;Příslušenství - Basis plynový grils;;7179;0077924048180;Ochranný obal pro Genesis II 300-série a další modely do šíře 152 cm;5;360; 	1 354,85 Kč ; 	1 990,00 Kč ; 	53,13 € ; 	79,99 € ;Partner; 	1 046,17 Kč 
Příslušenství;Příslušenství knihy;;;;;;;;;;;; 	-   Kč 
;;;45441;9788026045441;Weber grilování: Kuřecí maso;6;1008; 	207,57 Kč ; 	279,00 Kč ; 	7,99 € ; 	10,99 € ;Non; 	160,28 Kč 
;;;45489;9788026045489;Weber vegetariánské grilování;6;1008; 	207,57 Kč ; 	279,00 Kč ; 	7,99 € ; 	10,99 € ;Non; 	160,28 Kč 
;;;48649;9788055148649;Weber grilování: Steak SK;6;900; 	256,23 Kč ; 	299,00 Kč ; 	9,49 € ; 	11,99 € ;Non; 	197,85 Kč 
;;;48656;9788055148656;Weber grilování: Burger SK;6;900; 	256,23 Kč ; 	299,00 Kč ; 	9,49 € ; 	11,99 € ;Non; 	197,85 Kč 
Příslušenství;Příslušenství pro dokonalé chvilky;;;;;;;;;;;; 	-   Kč 
;;;17077;5707431000740;Weber® steaková sada Deluxe, 2 páry, ušl. ocel;3;720; 	1 258,63 Kč ; 	1 790,00 Kč ; 	49,36 € ; 	69,99 € ;Non; 	971,87 Kč 
;;;17845;0077924089855;Weber® steaková sada Deluxe, 6 párů, ušl. ocel;6;288; 	1 671,54 Kč ; 	2 490,00 Kč ; 	65,55 € ; 	99,99 € ;Non; 	1 290,71 Kč 
;;NOVÝ;17880;0077924122538;Talíř Ø 27,5 cm, sada 2 ks;1;; 	420,24 Kč ; 	649,00 Kč ; 	16,48 € ; 	24,99 € ;Non; 	324,50 Kč 
;;NOVÝ;17881;0077924122545;Dezertní talíř Ø 20,5 cm sada 2 ks;1;; 	252,20 Kč ; 	399,00 Kč ; 	9,89 € ; 	14,99 € ;Non; 	194,74 Kč 
;;NOVÝ;17882;0077924122552;Miska na salát 14 cm, malá, sada 2 ks;1;; 	252,20 Kč ; 	399,00 Kč ; 	9,89 € ; 	14,99 € ;Non; 	194,74 Kč 
;;NOVÝ;17884;0077924122576;Servírovací tác 40 x 22 cm;1;; 	840,74 Kč ; 	1 290,00 Kč ; 	32,97 € ; 	49,99 € ;Non; 	649,19 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky Küchenhelfer;NOVÝ;17883;0077924122569;Talíř na pizzu Ø 30,5 cm sada 2 ks;1;; 	504,39 Kč ; 	799,00 Kč ; 	19,78 € ; 	29,99 € ;Non; 	389,47 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky Küchenhelfer;NOVÝ;6489;0077924018923;Sada držáků na kukuřici;4;; 	232,15 Kč ; 	299,00 Kč ; 	9,10 € ; 	11,99 € ;Non; 	179,26 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky;;17058;5707431025637;Kámen na pizzu kulatý Ø 36 cm;4;120; 	769,08 Kč ; 	999,00 Kč ; 	30,16 € ; 	39,99 € ;Non; 	593,86 Kč 
;;NOVÝ;17067;5707431045321;Deluxe filetovací nůž;24;; 	652,29 Kč ; 	999,00 Kč ; 	25,58 € ; 	39,99 € ;Non; 	503,68 Kč 
;;NOVÝ;17070;5707431000573;Deluxe nůž šéfkuchaře, 24 cm;24;864; 	812,18 Kč ; 	1 290,00 Kč ; 	31,85 € ; 	49,99 € ;Non; 	627,14 Kč 
;;NOVÝ;17071;5707431000580;Deluxe nůž na zeleninu, velký, nerez. ocel;24;864; 	733,13 Kč ; 	1 190,00 Kč ; 	28,75 € ; 	44,99 € ;Non; 	566,10 Kč 
;;NOVÝ;17072;5707431000597;Deluxe nůž na pečivo;24;360; 	727,26 Kč ; 	1 190,00 Kč ; 	28,52 € ; 	44,99 € ;Non; 	561,57 Kč 
;;NOVÝ;17073;5707431000603;Deluxe nůž na zeleninu, malý, nerez. ocel;24;1152; 	570,69 Kč ; 	899,00 Kč ; 	22,38 € ; 	34,99 € ;Non; 	440,67 Kč 
;;NOVÝ;17074;5707431000610;Deluxe tranžírovací sada;12;588; 	1 480,53 Kč ; 	2 290,00 Kč ; 	58,06 € ; 	89,99 € ;Non; 	1 143,22 Kč 
;;NOVÝ;17081;5707431000825;Deluxe nůž na bylinky;24;1728; 	352,16 Kč ; 	549,00 Kč ; 	13,81 € ; 	19,99 € ;Non; 	271,93 Kč 
;;;17093;5707431000979;Mlýnek na pepř a sůl Premium 19 cm, černé (sada);10;300; 	1 333,45 Kč ; 	1 790,00 Kč ; 	52,29 € ; 	69,99 € ;Non; 	1 029,65 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky Küchenhelfer;;17275;5707431034608;Weber® slánka a pepřenka Premium 10 cm, černé (sada);6;1320; 	368,27 Kč ; 	549,00 Kč ; 	14,44 € ; 	19,99 € ;Non; 	284,37 Kč 
;;;17553;0077924027895;Weber® nádoba na marinádu a silikonový štětec;6;324; 	384,52 Kč ; 	549,00 Kč ; 	15,08 € ; 	19,99 € ;Non; 	296,91 Kč 
;;NOVÝ;17885;0077924122637;Keramická Plancha 39 x 31 cm;3;; 	1 338,50 Kč ; 	1 790,00 Kč ; 	52,49 € ; 	69,99 € ;Non; 	1 033,55 Kč 
;;NOVÝ;7665;0077924146404;Plancha pro Genesis II;1;; 	2 486,00 Kč ; 	3 290,00 Kč ; 	97,49 € ; 	129,99 € ;Non; 	1 919,61 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky;;6466;0077924007040;Deluxe Plancha, porcelánem smaltovaná litina, vhodný na grily Q™ 300/3000 série a vyšší verze;1;48; 	2 249,40 Kč ; 	2 990,00 Kč ; 	88,21 € ; 	119,99 € ;Partner; 	1 736,92 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky;;6465;0077924007019;Keramická grilovací deska - malá;3;162; 	1 002,66 Kč ; 	1 290,00 Kč ; 	39,32 € ; 	49,99 € ;Non; 	774,22 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky;;17509;0077924011757;Keramická grilovací deska - velká;3;72; 	1 466,00 Kč ; 	1 790,00 Kč ; 	57,49 € ; 	69,99 € ;Non; 	1 132,00 Kč 
;;NOVÝ;17886;0077924122644;Keramická grilovací pánev na rybu;4;; 	1 338,50 Kč ; 	1 790,00 Kč ; 	52,49 € ; 	69,99 € ;Non; 	1 033,55 Kč 
;;NOVÝ;17887;0077924122651;Keramická forma na koláč;4;; 	764,75 Kč ; 	999,00 Kč ; 	29,99 € ; 	39,99 € ;Non; 	590,52 Kč 
;;NOVÝ;17888;0077924122668;Keramický pekáč;2;; 	1 529,75 Kč ; 	1 990,00 Kč ; 	59,99 € ; 	79,99 € ;Non; 	1 181,22 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky Drehspieße;;17395;5707431045154;Weber® sada na otáčecí špíz, ušlechtilá ocel, obsahuje 6 krátkých a 6 dlouhých jehlic, vhodná pro všechny Weber otáčecí špízy;5;270; 	1 425,67 Kč ; 	1 790,00 Kč ; 	55,91 € ; 	69,99 € ;Partner; 	1 100,86 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky Drehspieße;;17588;0077924034787;Weber® drátěný koš na otáčecí špíz, vhodný na grily Q™ 200/2000 série a vyšší verze;4;72; 	1 243,87 Kč ; 	1 590,00 Kč ; 	48,78 € ; 	59,99 € ;Partner; 	960,48 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky;;6731;0077924018145;Deluxe stojan na drůbež;2;210; 	953,96 Kč ; 	1 290,00 Kč ; 	37,41 € ; 	49,99 € ;Partner; 	736,62 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky;;6483;0077924012020;Lis na hamburgery;6;600; 	265,32 Kč ; 	399,00 Kč ; 	10,40 € ; 	14,99 € ;Non; 	204,87 Kč 
Příslušenství;Příslušenství - Basis Weber Q;;6561;0077924021671;Tepelný štít, malý, 4 ks, vhodný na #6563;4;540; 	151,92 Kč ; 	199,00 Kč ; 	5,96 € ; 	7,99 € ;Non; 	117,31 Kč 
Příslušenství;Příslušenství - Basis Weber Q;;6563;0077924021718;Tepelný rošt, malý, vhodný na grily Q™ 100/1000 série, vhodný na #6561;4;780; 	439,03 Kč ; 	649,00 Kč ; 	17,22 € ; 	24,99 € ;Non; 	339,01 Kč 
Příslušenství;Příslušenství - Basis Weber Q;;6562;0077924021701;Tepelný štít, velký, 4 ks, vhodný na #6564;4;360; 	188,06 Kč ; 	279,00 Kč ; 	7,38 € ; 	9,99 € ;Non; 	145,21 Kč 
Příslušenství;Příslušenství - Basis Weber Q;;6564;0077924021787;Tepelný rošt, velký, vhodný na grily Q™ 200/2000 a 300/3000 série, vhodný na #6562;4;720; 	532,42 Kč ; 	799,00 Kč ; 	20,88 € ; 	29,99 € ;Non; 	411,12 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky;;2750;0077924028694;Fireplace - Ohniště černé;1;12; 	3 722,03 Kč ; 	4 990,00 Kč ; 	145,96 € ; 	199,99 € ;Partner; 	2 874,03 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky;;6435;0077924074899;Grilovací pánev Deluxe, ušlechtilá ocel, obdélníkový;6;360; 	531,00 Kč ; 	799,00 Kč ; 	20,82 € ; 	29,99 € ;Non; 	410,02 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky;;6481;0077924011122;Koš na zeleninu Deluxe, malý, ušl. ocel;6;1200; 	432,31 Kč ; 	649,00 Kč ; 	16,95 € ; 	24,99 € ;Non; 	333,82 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky;;6434;0077924074882;Grilovací koš Deluxe, ušlechtilá ocel, čtvercový;4;480; 	602,58 Kč ; 	899,00 Kč ; 	23,63 € ; 	34,99 € ;Non; 	465,29 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky;;6677;0077924018985;Koš na zeleninu, malý, ušlechtilá ocel;4;864; 	353,98 Kč ; 	549,00 Kč ; 	13,88 € ; 	19,99 € ;Non; 	273,33 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky;;6678;0077924018992;Koš na zeleninu, velký, ušlechtilá ocel;4;608; 	530,42 Kč ; 	799,00 Kč ; 	20,80 € ; 	29,99 € ;Non; 	409,57 Kč 
Příslušenství;Příslušenství - pro dokonalé chvilky;;6470;0077924011139;Držák na rybu a zeleninu, malý, ušlechtilá ocel, vhodný na plynové grily od Q™ 1000 série a vyšší verze a na grily na dřevěné uhlí o velikosti 37 cm a vyšší verze ;4;192; 	569,67 Kč ; 	799,00 Kč ; 	22,34 € ; 	29,99 € ;Non; 	439,88 Kč 
